ontology,level,bucket,count,percent
ontology_7,entity,50-60,4,7.41
ontology_7,entity,60-70,6,11.11
ontology_7,entity,70-80,13,24.07
ontology_7,entity,80-90,6,11.11
ontology_7,entity,90-100,23,42.59
ontology_7,triple,<50,4,4.55
ontology_7,triple,50-60,11,12.50
ontology_7,triple,60-70,24,27.27
ontology_7,triple,70-80,30,34.09
ontology_7,triple,80-90,18,20.45
ontology_7,triple,90-100,1,1.14
ontology_8,entity,<50,0,0.00
ontology_8,entity,50-60,0,0.00
ontology_8,entity,60-70,0,0.00
ontology_8,entity,70-80,0,0.00
ontology_8,entity,80-90,0,0.00
ontology_8,entity,90-100,2,100.00
ontology_8,triple,<50,0,0.00
ontology_8,triple,50-60,0,0.00
ontology_8,triple,60-70,0,0.00
ontology_8,triple,70-80,0,0.00
ontology_8,triple,80-90,0,0.00
ontology_8,triple,90-100,0,0.00
ontology_9,entity,<50,1,14.29
ontology_9,entity,50-60,3,42.86
ontology_9,entity,60-70,1,14.29
ontology_9,entity,70-80,0,0.00
ontology_9,entity,80-90,0,0.00
ontology_9,entity,90-100,2,28.57
ontology_9,triple,<50,0,0.00
ontology_9,triple,50-60,0,0.00
ontology_9,triple,60-70,4,100.00
ontology_9,triple,70-80,0,0.00
ontology_9,triple,80-90,0,0.00
ontology_9,triple,90-100,0,0.00

ontology,matched_entities,avg_similarity,threshold_0.7
ontology_10,3,1.0000,
ontology_11,4,0.8622,
ontology_12,6,0.8697,
ontology_14,34,0.9766,
ontology_15,3,0.9311,
ontology_16,0,0.0000,
ontology_17,62,0.8734,
ontology_18,6,0.8179,
ontology_19,3,0.9630,
ontology_20,2,1.0000,
ontology_3,49,0.8621,
ontology_4,89,0.8623,
ontology_5,116,0.8534,
ontology_6,91,0.7989,
ontology_7,42,0.8987,
ontology_8,2,1.0000,
ontology_9,2,1.0000,
OVERALL,514,0.8639,
